Device Identity
Device Type,GENEActiv
Device Model,1.2
Device Unique Serial Code,047521
Device Firmware Version,Ver06.17

Configuration Info
Measurement Frequency,100 Hz
Start Time,2025-02-01 09:00:00:000
Time Zone,GMT -05:00

Subject Info
Subject Code,0003

Recorded Data
subject_code,ts,x,y,z,lux
0003,2025-02-02 09:00:00,-0.778,-2.071,1.572,55
0003,2025-02-02 10:00:00,0.774,-0.537,-0.99,52
0003,2025-02-02 11:00:00,0.089,0.373,0.8,42
0003,2025-02-02 12:00:00,1.273,0.621,1.036,47
0003,2025-02-02 13:00:00,-0.785,0.337,0.404,50
0003,2025-02-02 14:00:00,0.82,0.702,-0.341,58
0003,2025-02-02 15:00:00,-0.055,0.118,-0.928,51
0003,2025-02-02 16:00:00,-0.018,0.546,0.779,54
0003,2025-02-02 17:00:00,-0.643,-1.131,-1.3,49
0003,2025-02-02 18:00:00,-0.539,-0.209,0.262,50
0003,2025-02-02 19:00:00,-2.327,-0.836,0.364,50
0003,2025-02-02 20:00:00,-0.489,0.11,1.29,57
0003,2025-02-02 21:00:00,1.227,1.065,0.134,42
0003,2025-02-02 22:00:00,1.125,0.22,0.517,45
0003,2025-02-02 23:00:00,-0.986,0.999,0.263,58
0003,2025-02-03 00:00:00,-1.163,-0.11,-1.128,42
0003,2025-02-03 01:00:00,-0.177,-1.051,1.001,50
0003,2025-02-03 02:00:00,-1.338,-0.471,0.146,53
0003,2025-02-03 03:00:00,-0.44,0.153,-1.79,37
0003,2025-02-03 04:00:00,-0.496,0.238,0.568,49
0003,2025-02-03 05:00:00,0.362,-1.327,-0.307,44
0003,2025-02-03 06:00:00,0.79,-2.562,1.43,63
0003,2025-02-03 07:00:00,1.014,-1.307,-2.223,54
0003,2025-02-03 08:00:00,0.023,-0.308,-0.136,52
0003,2025-02-03 09:00:00,-0.107,-0.308,-1.668,47
0003,2025-02-03 10:00:00,1.122,-0.668,-0.9,48
0003,2025-02-03 11:00:00,-0.872,0.101,1.306,47
0003,2025-02-03 12:00:00,0.604,-0.986,-0.606,60
0003,2025-02-03 13:00:00,-0.952,-2.745,-0.089,57
0003,2025-02-03 14:00:00,0.194,0.81,-0.37,43
0003,2025-02-03 15:00:00,0.85,0.703,1.748,54
0003,2025-02-03 16:00:00,1.265,-0.124,-1.067,56
0003,2025-02-03 17:00:00,-1.126,0.26,0.557,51
0003,2025-02-03 18:00:00,0.414,-1.803,0.442,48
0003,2025-02-03 19:00:00,-1.507,-0.474,1.375,49
0003,2025-02-03 20:00:00,-0.032,-0.94,-0.331,49
0003,2025-02-03 21:00:00,0.399,1.552,0.092,50
0003,2025-02-03 22:00:00,-0.049,-1.148,-0.524,52
0003,2025-02-03 23:00:00,-0.206,0.835,0.121,54
0003,2025-02-04 00:00:00,0.171,0.62,0.523,53
0003,2025-02-04 01:00:00,-1.505,-0.639,1.238,43
0003,2025-02-04 02:00:00,-1.103,1.487,0.041,49
0003,2025-02-04 03:00:00,-0.441,-0.577,0.459,42
0003,2025-02-04 04:00:00,-0.775,0.334,-0.926,51
0003,2025-02-04 05:00:00,-0.235,-0.939,1.886,41
0003,2025-02-04 06:00:00,1.025,-1.934,0.596,45
0003,2025-02-04 07:00:00,-0.075,0.36,-0.598,55
0003,2025-02-04 08:00:00,2.06,-1.86,-0.971,60
0003,2025-02-04 09:00:00,0.131,0.131,-0.437,54
0003,2025-02-04 10:00:00,0.925,0.562,-0.05,38
0003,2025-02-04 11:00:00,0.47,1.034,0.712,40
0003,2025-02-04 12:00:00,1.118,0.273,-1.094,52
0003,2025-02-04 13:00:00,1.291,-0.584,1.114,50
0003,2025-02-04 14:00:00,-0.225,0.849,-0.419,46
0003,2025-02-04 15:00:00,0.363,1.666,1.191,48
0003,2025-02-04 16:00:00,-0.389,-0.788,-0.315,47
0003,2025-02-04 17:00:00,2.18,0.533,-3.292,56
0003,2025-02-04 18:00:00,-0.648,0.067,-2.055,49
0003,2025-02-04 19:00:00,-1.083,0.317,0.005,58
0003,2025-02-04 20:00:00,0.292,0.578,-0.483,48
0003,2025-02-04 21:00:00,0.368,0.429,-0.293,47
0003,2025-02-04 22:00:00,0.03,0.785,-0.956,55
0003,2025-02-04 23:00:00,-0.485,0.64,-1.906,41
0003,2025-02-05 00:00:00,1.478,0.723,-1.813,54
0003,2025-02-05 01:00:00,-0.675,0.61,-0.572,52
0003,2025-02-05 02:00:00,-0.786,0.995,1.167,43
0003,2025-02-05 03:00:00,-0.086,-0.202,-0.593,50
0003,2025-02-05 04:00:00,-0.65,-2.485,-0.576,69
0003,2025-02-05 05:00:00,0.609,0.881,1.734,50
0003,2025-02-05 06:00:00,-1.526,-0.738,0.268,52
0003,2025-02-05 07:00:00,0.115,1.173,0.096,63
0003,2025-02-05 08:00:00,-0.75,0.149,-0.886,46
0003,2025-02-05 09:00:00,1.728,-0.542,0.333,48
0003,2025-02-05 10:00:00,2.597,1.348,0.814,62
0003,2025-02-05 11:00:00,-1.09,1.374,0.531,58
0003,2025-02-05 12:00:00,0.175,0.015,0.167,50
0003,2025-02-05 13:00:00,0.924,-2.375,0.177,54
0003,2025-02-05 14:00:00,-1.04,1.168,-0.378,50
0003,2025-02-05 15:00:00,0.266,0.409,-0.012,49
0003,2025-02-05 16:00:00,-0.159,-0.542,-1.159,55
0003,2025-02-05 17:00:00,0.373,-1.002,-2.098,51
0003,2025-02-05 18:00:00,0.737,1.585,1.096,53
0003,2025-02-05 19:00:00,1.269,0.446,0.583,48
0003,2025-02-05 20:00:00,-0.832,1.521,-0.786,50
0003,2025-02-05 21:00:00,0.264,-0.195,0.256,38
0003,2025-02-05 22:00:00,0.815,0.237,-0.468,39
0003,2025-02-05 23:00:00,0.741,-0.664,-0.867,56

