device_id,timestamp,double_values_0,double_values_1,double_values_2
0001,1738394400000,-0.324,1.448,2.086
0001,1.738395e+12,1.348,0.372,-0.15
0001,1738395600000,0.095,-0.586,0.977
0001,1738396200000,0.673,-0.948,1.875
0001,1738396800000,-0.825,-0.876,1.083
0001,1738397400000,0.001,0.541,-0.727
0001,1.738398e+12,0.59,-0.261,1.219
0001,1738398600000,1.576,-1.72,0.913
0001,1738399200000,-0.822,0.039,-1.155
0001,1738399800000,0.795,-0.609,0.505
0001,1738400400000,0.494,-1.79,1.086
0001,1.738401e+12,-1.651,-0.567,-0.705
0001,1738401600000,-0.518,-1.296,-0.45
0001,1738402200000,-1.144,1.274,0.338
0001,1738402800000,0.816,-0.674,-0.728
0001,1738403400000,-0.463,-0.199,-0.013
0001,1.738404e+12,-1.184,-0.506,-2.098
0001,1738404600000,-0.384,-1.137,0.048
0001,1738405200000,0.531,0.934,0.475
0001,1738405800000,0.519,0.453,-0.868
0001,1738406400000,0.196,0.035,-0.016
0001,1.738407e+12,0.669,-0.33,-2.25
0001,1738407600000,-0.074,0.629,-0.127
0001,1738408200000,-1.148,0.515,0.208
0001,1738408800000,-0.049,-0.222,-1.335
0001,1738409400000,-0.047,-1.211,0.06
0001,1.73841e+12,-0.366,0.871,-0.075
0001,1738410600000,-1.743,-0.298,-1.337
0001,1738411200000,-0.914,-0.262,-0.267
0001,1738411800000,-0.072,-0.437,-1.648
0001,1738412400000,-0.207,0.059,-2.974
0001,1.738413e+12,-1.462,-1.905,0.475
0001,1738413600000,1.144,-0.988,-1.435
0001,1738414200000,-0.499,-0.087,-0.19
0001,1738414800000,0.359,-0.092,0.098
0001,1738415400000,0.299,2.514,-0.75
0001,1.738416e+12,0.851,0.268,0.155
0001,1738416600000,0.756,-0.615,0.212
0001,1738417200000,-1.446,-1.92,0.509
0001,1738417800000,-0.997,0.279,0.691
0001,1738418400000,-0.968,-0.986,0.224
0001,1.738419e+12,-0.709,-2.18,-0.09
0001,1738419600000,0.031,-1.886,1.317
0001,1738420200000,0.226,0.58,-0.878
0001,1738420800000,-0.595,1.381,-0.068
0001,1738421400000,1.019,1.649,0.141
0001,1.738422e+12,-0.864,-0.974,0.965
0001,1738422600000,-0.314,0.934,-0.741
0001,1738423200000,0.094,1.148,-0.868
0001,1738423800000,2.165,-1.377,1.236
0001,1738424400000,-0.404,0.185,0.088
0001,1.738425e+12,-1.754,0.579,2.024
0001,1738425600000,1.624,0.539,-0.162
0001,1738426200000,-1.806,0.926,-0.251
0001,1738426800000,-1.082,1.58,-0.455
0001,1738427400000,0.79,-0.263,-0.022
0001,1.738428e+12,1.377,1.689,-0.815
0001,1738428600000,-0.091,-0.913,0.104
0001,1738429200000,-1.364,0.043,-0.427
0001,1738429800000,-1.354,0.329,-0.913
0001,1738430400000,-0.678,-1.112,-0.29
0001,1.738431e+12,-0.623,0.06,-2.264
0001,1738431600000,0.354,1.559,-0.154
0001,1738432200000,-1.293,-1.242,-0.076
0001,1738432800000,-1.203,0.902,-2.498
0001,1738433400000,-1.287,0.729,-0.125
0001,1.738434e+12,0.016,0.16,-0.354
0001,1738434600000,0.851,-0.194,-2.025
0001,1738435200000,-0.274,1.232,-0.012
0001,1738435800000,0.501,-0.446,0.197
0001,1738436400000,-0.606,-0.758,0.938
0001,1.738437e+12,1.744,0.192,-0.944
0001,1738437600000,-1.016,-0.443,-0.368
0001,1738438200000,1.392,1.214,1.279
0001,1738438800000,-1.124,0.281,-2.017
0001,1738439400000,1.032,-1.372,1.565
0001,1.73844e+12,-0.052,0.353,0.065
0001,1738440600000,0.391,-0.458,-0.2
0001,1738441200000,-0.623,0.612,0.442
0001,1738441800000,0.647,0.362,1.455
0001,1738442400000,-0.304,-1.879,0.013
0001,1.738443e+12,-1.331,-1.296,-1.629
0001,1738443600000,-0.531,-0.216,-0.218
0001,1738444200000,-1.471,0.094,0.024
0001,1738444800000,0.007,-1.535,1.67
0001,1738445400000,-0.604,-0.217,-0.533
0001,1.738446e+12,0.294,-1.283,-1.659
0001,1738446600000,-0.612,-0.261,0.692
0001,1738447200000,-1.096,1.368,1.368
0001,1738447800000,-0.762,0.33,0.385
0001,1738448400000,-1.123,-0.802,0.997
0001,1.738449e+12,0.009,-0.582,0.571
0001,1738449600000,0.345,1.122,-0.333
0001,1738450200000,1.133,-1.554,0.337
0001,1738450800000,-0.143,-0.312,-0.007
0001,1738451400000,0.51,0.3,-0.444
0001,1.738452e+12,1.621,-0.819,1.568
0001,1738452600000,-1.052,-0.481,1.116
0001,1738453200000,-0.438,-0.109,-0.19
0001,1738453800000,-0.242,-0.9,-1.843
0001,1738454400000,0.693,-0.329,-0.239
0001,1.738455e+12,1.09,-0.052,-1.893
0001,1738455600000,0.421,-1.812,1.343
0001,1738456200000,0.783,0.602,0.543
0001,1738456800000,-1.268,-0.004,-0.779
0001,1738457400000,-0.42,-0.428,0.66
0001,1.738458e+12,0.454,0.144,-1.784
0001,1738458600000,-0.229,-0.626,-0.338
0001,1738459200000,0.251,0.155,1.18
0001,1738459800000,-1.205,-0.646,-0.568
0001,1738460400000,0.424,-0.099,0.239
0001,1.738461e+12,-0.124,-0.34,-1.33
0001,1738461600000,0.148,0.947,1.341
0001,1738462200000,-0.717,1.552,0.615
0001,1738462800000,1.9,-0.274,-0.93
0001,1738463400000,1.291,1.023,-0.17
0001,1.738464e+12,-0.263,-1.548,-0.156
0001,1738464600000,0.947,1.42,0.235
0001,1738465200000,-1.178,-0.718,-0.862
0001,1738465800000,0.076,0.905,0.219
0001,1738466400000,-0.731,-0.269,0.933
0001,1.738467e+12,-0.668,1.084,-0.695
0001,1738467600000,-0.249,1.567,0.726
0001,1738468200000,0.443,-0.802,-0.872
0001,1738468800000,0.497,0.669,0.377
0001,1738469400000,-0.918,1.444,-0.098
0001,1.73847e+12,0.998,-0.066,0.237
0001,1738470600000,-0.64,0.739,-1.075
0001,1738471200000,-0.192,-0.715,1.19
0001,1738471800000,-0.388,0.453,-1.44
0001,1738472400000,0.093,0.942,1.155
0001,1.738473e+12,-1.224,-0.953,-0.785
0001,1738473600000,0.018,-0.892,-0.762
0001,1738474200000,0.284,-1.435,0.675
0001,1738474800000,0.75,-1.13,-0.11
0001,1738475400000,0.183,-0.35,-0.384
0001,1.738476e+12,0.861,0.801,1.227
0001,1738476600000,-1.082,1.147,-1.127
0001,1738477200000,0.291,-1.264,1.144
0001,1738477800000,0.869,1.209,0.966
0001,1738478400000,0.44,-0.032,-1.068
0001,1.738479e+12,0.299,-0.829,-0.053
0001,1738479600000,-1.127,0.559,-0.478
0001,1738480200000,0.582,0.975,2.78
0001,1738480800000,0.855,-3.331,0.578
0001,1738481400000,-0.384,-1.34,0.539
0001,1.738482e+12,-0.71,0.375,-0.275
0001,1738482600000,0.257,-0.915,-0.239
0001,1738483200000,0.081,-0.919,-0.91
0001,1738483800000,-0.204,-2.134,-0.034
0001,1738484400000,0.751,-0.335,0.388
0001,1.738485e+12,-1.508,1.214,-0.006
0001,1738485600000,1.743,-0.586,0.64
0001,1738486200000,1.113,0.199,-0.494
0001,1738486800000,0.7,-0.022,0.399
0001,1738487400000,-0.737,-0.977,1.361
0002,1.738368e+12,-1.789,-0.834,-0.795
0002,1738368600000,-1.584,0.153,1.028
0002,1738369200000,-0.695,-1.327,0.421
0002,1738369800000,-1.352,-0.721,1.129
0002,1738370400000,-0.943,-1.803,-1.398
0002,1.738371e+12,-0.368,0.34,0.688
0002,1738371600000,0.488,0.794,0.65
0002,1738372200000,0.954,-1.347,-0.966
0002,1738372800000,0.326,0.73,0.77
0002,1738373400000,0.485,1.051,0.003
0002,1.738374e+12,0.025,1.661,-1.311
0002,1738374600000,-0.27,1.354,0.248
0002,1738375200000,1.981,-0.643,-0.962
0002,1738375800000,-0.467,-3.177,1.271
0002,1738376400000,-1.661,-0.259,-0.675
0002,1.738377e+12,0.165,0.449,0.197
0002,1738377600000,-0.514,1.392,-0.48
0002,1738378200000,0.806,0.366,-0.129
0002,1738378800000,-2.165,0.616,-0.467
0002,1738379400000,0.669,-0.688,1.576
0002,1.73838e+12,0.293,1.554,-1.513
0002,1738380600000,-0.565,0.171,0.337
0002,1738381200000,1.786,0.715,-0.433
0002,1738381800000,0.939,0.09,0.364
0002,1738382400000,-0.112,-1.74,-0.375
0002,1.738383e+12,-0.162,1.601,-0.006
0002,1738383600000,0.05,-1.005,1.498
0002,1738384200000,-0.335,0.276,-0.772
0002,1738384800000,0.257,-0.27,0.447
0002,1738385400000,0.79,-0.361,-0.321
0002,1.738386e+12,0.474,1.196,-0.046
0002,1738386600000,1.956,0.758,-1.861
0002,1738387200000,1.035,-0.384,-1.108
0002,1738387800000,0.815,-0.798,-0.962
0002,1738388400000,-0.299,-0.31,1.278
0002,1.738389e+12,-0.187,0.887,0.3
0002,1738389600000,-1.218,0.601,-1.206
0002,1738390200000,0.523,-2.087,-1.069
0002,1738390800000,-0.257,-2.753,-1.231
0002,1738391400000,0.839,-0.324,-0.783
0002,1.738392e+12,-0.142,0.762,0.673
0002,1738392600000,-0.958,-0.126,2.161
0002,1738393200000,0.68,0.462,0.513
0002,1738393800000,0.008,-1.382,0.376
0002,1738394400000,1.403,1.131,0.69
0002,1.738395e+12,-1.012,0.305,0.195
0002,1738395600000,-2.061,0.413,0.104
0002,1738396200000,0.571,-1.082,-1.205
0002,1738396800000,0.69,-0.446,0.537
0002,1738397400000,1.005,0.871,-0.082
0002,1.738398e+12,2.074,-0.892,-0.432
0002,1738398600000,0.323,0.514,-0.451
0002,1738399200000,-0.051,1.411,0.886
0002,1738399800000,1.701,-0.033,-0.9
0002,1738400400000,0.401,1.609,-0.286
0002,1.738401e+12,-1.402,0.199,-0.375
0002,1738401600000,-0.7,0.003,1.552
0002,1738402200000,1.079,2.196,1.289
0002,1738402800000,0.457,-0.482,0.758
0002,1738403400000,0.032,0.821,-0.275
0002,1.738404e+12,0.878,-0.944,-0.448
0002,1738404600000,-1.009,1.376,-1.123
0002,1738405200000,-0.668,-1.347,0.455
0002,1738405800000,1.166,0.002,-1.265
0002,1738406400000,1.007,1.178,-0.778
0002,1.738407e+12,-2.026,0.688,0.103
0002,1738407600000,1.193,-0.216,0.698
0002,1738408200000,2.789,0.649,-0.874
0002,1738408800000,-0.448,-1.129,-0.027
0002,1738409400000,2.292,-0.109,-1.512
0002,1.73841e+12,0.182,-1.165,1.193
0002,1738410600000,1.047,-0.204,-0.77
0002,1738411200000,0.505,0.171,0.446
0002,1738411800000,1.7,2.217,0.947
0002,1738412400000,0.969,-0.354,-0.486
0002,1.738413e+12,-0.562,0.999,-0.628
0002,1738413600000,0.768,0.225,0.507
0002,1738414200000,1.711,1.295,0.564
0002,1738414800000,1.453,0.351,0.885
0002,1738415400000,1.322,-1.282,-0.922
0002,1.738416e+12,-0.23,0.053,-0.774
0002,1738416600000,0.147,0.591,-1.925
0002,1738417200000,0.354,-0.747,1.719
0002,1738417800000,-0.785,-0.767,-0.902
0002,1738418400000,-0.933,0.828,-0.259
0002,1.738419e+12,-1.222,1.575,0.653
0002,1738419600000,0.533,-0.216,-0.597
0002,1738420200000,-1.326,-0.214,-0.726
0002,1738420800000,0.965,0.329,0.671
0002,1738421400000,-0.32,-0.01,1.005
0002,1.738422e+12,0.242,-0.655,-2.03
0002,1738422600000,-0.36,0.494,-0.515
0002,1738423200000,0.024,0.364,-1.774
0002,1738423800000,0.58,0.899,0.647
0002,1738424400000,-0.234,-0.045,0.136
0002,1.738425e+12,-0.387,0.361,0.527
0002,1738425600000,-0.149,1.473,-0.653
0002,1738426200000,-0.771,0.82,0.424
0002,1738426800000,-0.178,1.024,0.317
0002,1738427400000,0.445,-0.52,-1.371
0002,1.738428e+12,-1.476,-0.644,0.634
0002,1738428600000,0.035,1.246,-1.109
0002,1738429200000,-0.473,-1.228,0.565
0002,1738429800000,0.283,-0.171,0.128
0002,1738430400000,0.018,0.808,0.437
0002,1.738431e+12,0.642,-0.621,1.868
0002,1738431600000,0.222,-0.136,-0.814
0002,1738432200000,-0.934,-0.988,-0.327
0002,1738432800000,-0.203,0.888,1.226
0002,1738433400000,0.262,0.206,-1.24
0002,1.738434e+12,2.233,0.196,-1.952
0002,1738434600000,0.724,1.225,0.222
0002,1738435200000,0.471,0.343,0.631
0002,1738435800000,0.355,-0.479,-0.271
0002,1738436400000,-0.023,0.52,-0.814
0002,1.738437e+12,-0.38,-1.719,-1.284
0002,1738437600000,-1.299,0.737,1.229
0002,1738438200000,0.072,0.41,0.385
0002,1738438800000,1.71,-1.167,-0.844
0002,1738439400000,-0.317,-1.09,0.424
0002,1.73844e+12,1.143,0.364,-1.564
0002,1738440600000,0.533,1.323,-0.389
0002,1738441200000,-0.27,-1.089,0.198
0002,1738441800000,-0.362,-1.066,0.399
0002,1738442400000,1.922,0.67,-0.64
0002,1.738443e+12,-0.084,0.282,-0.596
0002,1738443600000,-0.612,0.177,1.28
0002,1738444200000,-0.764,-0.43,0.545
0002,1738444800000,-0.163,-1.134,-0.974
0002,1738445400000,1.075,1.197,-2.268
0002,1.738446e+12,-0.832,0.03,2.037
0002,1738446600000,0.561,1.692,-1.256
0002,1738447200000,0.954,0.663,-1.712
0002,1738447800000,-1.306,-0.371,1.595
0002,1738448400000,0.336,-1.493,-1.81
0002,1.738449e+12,-0.498,-0.963,0.738
0002,1738449600000,-0.266,-0.136,-0.789
0002,1738450200000,-0.633,0.857,-0.808
0002,1738450800000,-0.436,-1.513,-0.516
0002,1738451400000,0.7,0.772,0.003
0002,1.738452e+12,-0.837,1.631,0.282
0002,1738452600000,0.014,-1.037,0.057
0002,1738453200000,0.193,-1.098,0.768
0002,1738453800000,-0.928,-1.133,-0.009
0002,1738454400000,0.357,0.482,-0.17
0002,1.738455e+12,0.077,0.914,-1.147
0002,1738455600000,-1.346,1.118,-1.598
0002,1738456200000,0.316,-1.115,-1.274
0002,1738456800000,-2.841,-0.833,-1.387
0002,1738457400000,-1.585,0.144,-1.055
0002,1.738458e+12,-0.149,1.195,1.713
0002,1738458600000,-0.409,0.416,-0.32
0002,1738459200000,0.904,-0.305,0.391
0002,1738459800000,-0.515,0.28,1.272
0002,1738460400000,-0.297,-1.454,-0.946
0002,1.738461e+12,-0.845,-1.063,0.299
0002,1738461600000,0.71,-0.759,-0.005
0002,1738462200000,1.411,1.444,0.878
0002,1738462800000,-0.105,-0.001,-0.585
0002,1738463400000,0.207,2.822,-0.031
0002,1.738464e+12,-0.212,0.243,-1.281
0002,1738464600000,0.963,-0.561,0.393
0002,1738465200000,0.845,-2.175,-0.246
0002,1738465800000,0.602,-0.787,-1.128
0002,1738466400000,0.521,-0.063,-1.889
0002,1.738467e+12,0.71,0.389,-0.699
0002,1738467600000,-0.286,-0.363,-0.089
0002,1738468200000,2.339,-0.006,-0.226
0002,1738468800000,1.584,1.227,0.509
0002,1738469400000,0.711,-0.168,-0.144
0002,1.73847e+12,0.542,-0.597,-0.312
0002,1738470600000,0.426,-1.926,-0.775
0002,1738471200000,-0.196,0.553,1.582
0002,1738471800000,-0.505,2.527,0.84
0002,1738472400000,-0.152,0.282,-0.892
0002,1.738473e+12,0.96,-0.269,-0.866
0002,1738473600000,-1.038,0.984,-0.457
0002,1738474200000,-1.421,0.505,-0.855
0002,1738474800000,-0.962,-0.895,-1.692
0002,1738475400000,0.354,-2.154,-0.539
0002,1.738476e+12,-0.179,-1.529,0.688
0002,1738476600000,-0.217,-0.247,-1.986
0002,1738477200000,-0.432,0.383,0.601
0002,1738477800000,-1.079,1.069,-0.252
0002,1738478400000,-0.306,1.082,-0.437
0002,1.738479e+12,1.719,0.652,0.853
0002,1738479600000,-0.427,0.924,-0.145
0002,1738480200000,0.689,-1.088,1.041
0002,1738480800000,-0.661,1.257,-1.442
0002,1738481400000,-0.035,-0.176,-1.346
0002,1.738482e+12,-1.018,-0.17,-0.775
0002,1738482600000,-1.84,0.932,-0.01
0002,1738483200000,2.317,-1.544,0.88
0002,1738483800000,-0.156,-0.558,1.707
0002,1738484400000,0.598,0.965,-0.416
0002,1.738485e+12,0.408,-1.498,-0.688
0002,1738485600000,-0.379,0.138,-0.318
0002,1738486200000,-1.495,-0.936,-0.161
0002,1738486800000,-0.192,-1.198,1.443
0002,1738487400000,0.13,-0.719,0.258
