Response Id,Response Type,Source Name,User.FirstName,User.LastName,User.Id,Survey Started Date,studyId,quest_101,quest_102,quest_103,quest_110,quest_111,quest_120,quest_130,quest_140
R00025,Submission,Morning Survey,5005,Smith,00000000000000000000138d,03/02/2025,657b7b3c1a3052fc06c77099,1,0,2,1,2,4,,2
R00026,Submission,Morning Survey,5006,Smith,00000000000000000000138e,03/02/2025,657b7b3c1a3052fc06c77099,0,3,1,0,,4,Day note 26,0
R00027,Submission,Morning Survey,5007,Smith,00000000000000000000138f,03/02/2025,657b7b3c1a3052fc06c77099,3,3,0,0,,4,,0
R00028,Submission,Morning Survey,5008,Smith,000000000000000000001390,03/02/2025,657b7b3c1a3052fc06c77099,3,4,2,0,,4,,0
R00029,Submission,Morning Survey,5009,Smith,000000000000000000001391,03/02/2025,657b7b3c1a3052fc06c77099,1,0,3,1,3,2,,0
R00030,Submission,Morning Survey,5010,Smith,000000000000000000001392,03/02/2025,657b7b3c1a3052fc06c77099,1,2,4,0,,0,,0
R00031,Submission,Morning Survey,5001,Smith,000000000000000000001389,04/02/2025,657b7b3c1a3052fc06c77099,2,2,2,1,3,0,Day note 31,0
R00032,Submission,Morning Survey,5002,Smith,00000000000000000000138a,04/02/2025,657b7b3c1a3052fc06c77099,2,2,3,0,,3,,0
R00033,Submission,Morning Survey,5003,Smith,00000000000000000000138b,04/02/2025,657b7b3c1a3052fc06c77099,2,1,3,1,2,3,Day note 33,0
R00034,Submission,Morning Survey,5004,Smith,00000000000000000000138c,04/02/2025,657b7b3c1a3052fc06c77099,4,1,3,1,2,3,,0
R00035,Submission,Morning Survey,5005,Smith,00000000000000000000138d,04/02/2025,657b7b3c1a3052fc06c77099,1,3,0,1,2,1,,0
R00036,Submission,Morning Survey,5006,Smith,00000000000000000000138e,04/02/2025,657b7b3c1a3052fc06c77099,4,4,1,1,4,4,Day note 36,0
R00037,Submission,Morning Survey,5007,Smith,00000000000000000000138f,04/02/2025,657b7b3c1a3052fc06c77099,2,2,2,1,0,3,,0
R00038,Submission,Morning Survey,5008,Smith,000000000000000000001390,04/02/2025,657b7b3c1a3052fc06c77099,0,1,4,0,,2,,0
R00039,Submission,Morning Survey,5009,Smith,000000000000000000001391,04/02/2025,657b7b3c1a3052fc06c77099,0,3,3,1,4,0,,0
R00040,Submission,Morning Survey,5010,Smith,000000000000000000001392,04/02/2025,657b7b3c1a3052fc06c77099,1,2,3,1,1,0,,4
R00041,Submission,Morning Survey,5001,Smith,000000000000000000001389,05/02/2025,657b7b3c1a3052fc06c77099,0,1,2,0,,3,,4
R00042,Submission,Morning Survey,5002,5002,00000000000000000000138a,05/02/2025,657b7b3c1a3052fc06c77099,3,1,0,1,3,4,Day note 42,0
R00043,Submission,Morning Survey,5003,Smith,00000000000000000000138b,05/02/2025,657b7b3c1a3052fc06c77099,2,0,0,0,,3,Day note 43,3
R00044,Submission,Morning Survey,5004,Smith,00000000000000000000138c,05/02/2025,657b7b3c1a3052fc06c77099,1,1,1,1,2,0,Day note 44,0
R00045,Submission,Morning Survey,5005,Smith,00000000000000000000138d,05/02/2025,657b7b3c1a3052fc06c77099,1,0,2,0,,4,Day note 45,0
R00046,Submission,Morning Survey,5006,Smith,00000000000000000000138e,05/02/2025,657b7b3c1a3052fc06c77099,1,3,3,0,,1,Day note 46,0
R00047,Submission,Morning Survey,5007,Smith,00000000000000000000138f,05/02/2025,657b7b3c1a3052fc06c77099,2,2,1,0,,4,Day note 47,0
R00048,Submission,Morning Survey,5008,Smith,000000000000000000001390,05/02/2025,657b7b3c1a3052fc06c77099,2,2,4,1,0,4,,0
R00049,Submission,Morning Survey,5009,Smith,000000000000000000001391,05/02/2025,657b7b3c1a3052fc06c77099,3,4,4,0,,0,,0
R00050,Submission,Morning Survey,5010,Smith,000000000000000000001392,05/02/2025,657b7b3c1a3052fc06c77099,3,1,3,1,4,4,,2
R00051,Submission,Morning Survey,,Smith,000000000000000000001389,06/02/2025,657b7b3c1a3052fc06c77099,1,2,4,1,1,0,,2
R00052,Submission,Morning Survey,5002,Smith,00000000000000000000138a,06/02/2025,657b7b3c1a3052fc06c77099,4,2,3,1,2,0,,0
R00053,Submission,Morning Survey,5003,Smith,00000000000000000000138b,06/02/2025,657b7b3c1a3052fc06c77099,4,3,4,0,,1,,0
R00054,Submission,Morning Survey,5004,5004,00000000000000000000138c,06/02/2025,657b7b3c1a3052fc06c77099,0,2,3,0,,1,,0
R00055,Submission,Morning Survey,5005,5005,00000000000000000000138d,06/02/2025,657b7b3c1a3052fc06c77099,0,1,3,1,3,3,,0
R00056,Submission,Morning Survey,5006,Smith,00000000000000000000138e,06/02/2025,657b7b3c1a3052fc06c77099,1,1,1,0,,1,,0
R00057,Submission,Morning Survey,5007,Smith,00000000000000000000138f,06/02/2025,657b7b3c1a3052fc06c77099,3,3,4,1,0,0,Day note 57,4
R00058,Submission,Morning Survey,5008,Smith,000000000000000000001390,06/02/2025,657b7b3c1a3052fc06c77099,4,2,2,0,,1,,0
R00059,Submission,Morning Survey,5009,5009,000000000000000000001391,06/02/2025,657b7b3c1a3052fc06c77099,4,3,2,1,2,2,,0
R00060,Submission,Morning Survey,5010,Smith,000000000000000000001392,06/02/2025,657b7b3c1a3052fc06c77099,1,4,4,1,3,3,Day note 60,0
R00061,Submission,Random Prompt,5001,Smith,000000000000000000001389,01/02/2025,657b7b3c1a3052fc06c77099,3,0,2,1,4,,Day note 61,0
R00062,Submission,Random Prompt,5002,Smith,00000000000000000000138a,01/02/2025,657b7b3c1a3052fc06c77099,4,1,1,0,,,Day note 62,0
R00063,Submission,Random Prompt,5003,Smith,00000000000000000000138b,01/02/2025,657b7b3c1a3052fc06c77099,0,3,3,0,,,,2
R00064,Submission,Random Prompt,5004,5004,00000000000000000000138c,01/02/2025,657b7b3c1a3052fc06c77099,1,2,1,0,,,,0
R00065,Submission,Random Prompt,5005,Smith,00000000000000000000138d,01/02/2025,657b7b3c1a3052fc06c77099,1,2,3,0,,,,0
R00066,Submission,Random Prompt,,Smith,00000000000000000000138e,01/02/2025,657b7b3c1a3052fc06c77099,2,2,1,0,,,,3
R00067,Submission,Random Prompt,5007,Smith,00000000000000000000138f,01/02/2025,657b7b3c1a3052fc06c77099,2,4,1,0,,,,0
R00068,Submission,Random Prompt,5008,Smith,000000000000000000001390,01/02/2025,657b7b3c1a3052fc06c77099,3,0,3,0,,,,0
R00069,Submission,Random Prompt,5009,Smith,000000000000000000001391,01/02/2025,657b7b3c1a3052fc06c77099,2,3,3,0,,,Day note 69,0
R00070,Submission,Random Prompt,5010,Smith,000000000000000000001392,01/02/2025,657b7b3c1a3052fc06c77099,0,2,4,1,1,,,0
R00071,Submission,Random Prompt,5001,Smith,000000000000000000001389,02/02/2025,657b7b3c1a3052fc06c77099,0,2,4,0,,,,0
R00072,Submission,Random Prompt,5002,Smith,00000000000000000000138a,02/02/2025,657b7b3c1a3052fc06c77099,1,3,4,1,1,,Day note 72,0
R00073,Submission,Random Prompt,5003,Smith,00000000000000000000138b,02/02/2025,657b7b3c1a3052fc06c77099,3,2,4,0,,,Day note 73,2
R00074,Submission,Random Prompt,5004,Smith,00000000000000000000138c,02/02/2025,657b7b3c1a3052fc06c77099,1,3,2,1,1,,,0
R00075,Submission,Random Prompt,,Smith,00000000000000000000138d,02/02/2025,657b7b3c1a3052fc06c77099,0,0,0,0,,,,0
R00076,Submission,Random Prompt,5006,Smith,00000000000000000000138e,02/02/2025,657b7b3c1a3052fc06c77099,3,3,0,1,3,,Day note 76,0
R00077,Submission,Random Prompt,5007,5007,00000000000000000000138f,02/02/2025,657b7b3c1a3052fc06c77099,3,3,1,0,,,,4
R00078,Submission,Random Prompt,5008,Smith,000000000000000000001390,02/02/2025,657b7b3c1a3052fc06c77099,1,1,1,0,,,,0
R00079,Submission,Random Prompt,5009,Smith,000000000000000000001391,02/02/2025,657b7b3c1a3052fc06c77099,4,3,1,1,2,,,0
R00080,Submission,Random Prompt,5010,Smith,000000000000000000001392,02/02/2025,657b7b3c1a3052fc06c77099,3,4,2,1,1,,Day note 80,2
R00081,Submission,Random Prompt,5001,5001,000000000000000000001389,03/02/2025,657b7b3c1a3052fc06c77099,3,4,4,1,1,,,0
R00082,Submission,Random Prompt,5002,Smith,00000000000000000000138a,03/02/2025,657b7b3c1a3052fc06c77099,0,2,3,0,,,Day note 82,0
R00083,Submission,Random Prompt,5003,Smith,00000000000000000000138b,03/02/2025,657b7b3c1a3052fc06c77099,3,2,4,1,4,,Day note 83,0
R00084,Submission,Random Prompt,5004,Smith,00000000000000000000138c,03/02/2025,657b7b3c1a3052fc06c77099,1,1,2,0,,,,0
R00085,Submission,Random Prompt,5005,Smith,00000000000000000000138d,03/02/2025,657b7b3c1a3052fc06c77099,3,3,1,1,4,,,0
R00086,Submission,Random Prompt,5006,Smith,00000000000000000000138e,03/02/2025,657b7b3c1a3052fc06c77099,1,2,2,0,,,,0
R00087,Submission,Random Prompt,5007,Smith,00000000000000000000138f,03/02/2025,657b7b3c1a3052fc06c77099,2,0,3,1,1,,Day note 87,0
R00088,Submission,Random Prompt,5008,Smith,000000000000000000001390,03/02/2025,657b7b3c1a3052fc06c77099,0,0,4,0,,,,0
R00089,Submission,Random Prompt,5009,Smith,000000000000000000001391,03/02/2025,657b7b3c1a3052fc06c77099,1,4,2,1,2,,,0
R00090,Submission,Random Prompt,5010,Smith,000000000000000000001392,03/02/2025,657b7b3c1a3052fc06c77099,0,0,3,0,,,,0
R00091,Submission,Random Prompt,5001,Smith,000000000000000000001389,04/02/2025,657b7b3c1a3052fc06c77099,2,0,2,0,,,,0
R00092,Submission,Random Prompt,5002,5002,00000000000000000000138a,04/02/2025,657b7b3c1a3052fc06c77099,1,4,3,1,4,,Day note 92,0
R00093,Submission,Random Prompt,,Smith,00000000000000000000138b,04/02/2025,657b7b3c1a3052fc06c77099,1,3,0,1,1,,,0
R00094,Submission,Random Prompt,5004,5004,00000000000000000000138c,04/02/2025,657b7b3c1a3052fc06c77099,4,1,3,1,2,,,2
R00095,Submission,Random Prompt,5005,Smith,00000000000000000000138d,04/02/2025,657b7b3c1a3052fc06c77099,3,0,0,1,0,,Day note 95,2
R00096,Submission,Random Prompt,5006,Smith,00000000000000000000138e,04/02/2025,657b7b3c1a3052fc06c77099,2,1,3,1,2,,,0
R00097,Submission,Random Prompt,5007,Smith,00000000000000000000138f,04/02/2025,657b7b3c1a3052fc06c77099,0,1,1,0,,,,0
R00098,Submission,Random Prompt,,Smith,000000000000000000001390,04/02/2025,657b7b3c1a3052fc06c77099,1,1,0,1,0,,Day note 98,0
R00099,Submission,Random Prompt,5009,Smith,000000000000000000001391,04/02/2025,657b7b3c1a3052fc06c77099,1,1,1,0,,,,0
R00100,Submission,Random Prompt,,Smith,000000000000000000001392,04/02/2025,657b7b3c1a3052fc06c77099,0,1,1,0,,,,0
R00101,Submission,Random Prompt,5001,Smith,000000000000000000001389,05/02/2025,657b7b3c1a3052fc06c77099,1,2,0,1,1,,,0
R00102,Submission,Random Prompt,5002,Smith,00000000000000000000138a,05/02/2025,657b7b3c1a3052fc06c77099,3,2,1,1,3,,,0
R00103,Submission,Random Prompt,5003,Smith,00000000000000000000138b,05/02/2025,657b7b3c1a3052fc06c77099,4,2,1,1,0,,,0
R00104,Submission,Random Prompt,5004,Smith,00000000000000000000138c,05/02/2025,657b7b3c1a3052fc06c77099,3,3,4,1,1,,Day note 104,0
R00105,Submission,Random Prompt,5005,Smith,00000000000000000000138d,05/02/2025,657b7b3c1a3052fc06c77099,2,0,1,0,,,,0
R00106,Submission,Random Prompt,5006,Smith,00000000000000000000138e,05/02/2025,657b7b3c1a3052fc06c77099,4,4,2,1,2,,,0
R00107,Submission,Random Prompt,5007,Smith,00000000000000000000138f,05/02/2025,657b7b3c1a3052fc06c77099,4,1,1,0,,,,0
R00108,Submission,Random Prompt,5008,5008,000000000000000000001390,05/02/2025,657b7b3c1a3052fc06c77099,4,2,3,0,,,,0
R00109,Submission,Random Prompt,5009,5009,000000000000000000001391,05/02/2025,657b7b3c1a3052fc06c77099,0,1,4,1,1,,,0
R00110,Submission,Random Prompt,5010,Smith,000000000000000000001392,05/02/2025,657b7b3c1a3052fc06c77099,0,4,1,1,0,,,1
R00111,Submission,Random Prompt,5001,Smith,000000000000000000001389,06/02/2025,657b7b3c1a3052fc06c77099,3,4,1,0,,,,0
R00112,Submission,Random Prompt,,Smith,00000000000000000000138a,06/02/2025,657b7b3c1a3052fc06c77099,4,2,4,0,,,,4
R00113,Submission,Random Prompt,5003,Smith,00000000000000000000138b,06/02/2025,657b7b3c1a3052fc06c77099,2,1,2,1,3,,Day note 113,1
R00114,Submission,Random Prompt,5004,Smith,00000000000000000000138c,06/02/2025,657b7b3c1a3052fc06c77099,1,2,0,0,,,Day note 114,0
R00115,Submission,Random Prompt,5005,Smith,00000000000000000000138d,06/02/2025,657b7b3c1a3052fc06c77099,4,2,2,1,3,,,0
R00116,Submission,Random Prompt,5006,Smith,00000000000000000000138e,06/02/2025,657b7b3c1a3052fc06c77099,3,1,0,1,4,,,0
R00117,Submission,Random Prompt,5007,Smith,00000000000000000000138f,06/02/2025,657b7b3c1a3052fc06c77099,4,1,1,0,,,,0
R00118,Submission,Random Prompt,5008,Smith,000000000000000000001390,06/02/2025,657b7b3c1a3052fc06c77099,0,0,1,0,,,,0
R00119,Submission,Random Prompt,5009,Smith,000000000000000000001391,06/02/2025,657b7b3c1a3052fc06c77099,3,3,2,0,,,Day note 119,0
R00120,Submission,Random Prompt,5010,Smith,000000000000000000001392,06/02/2025,657b7b3c1a3052fc06c77099,1,0,4,1,0,,,0
R00121,Submission,Random Prompt,5001,Smith,000000000000000000001389,01/02/2025,657b7b3c1a3052fc06c77099,2,0,1,1,1,,,0
R00122,Submission,Random Prompt,5002,Smith,00000000000000000000138a,01/02/2025,657b7b3c1a3052fc06c77099,0,2,0,0,,,,0
R00123,Submission,Random Prompt,5003,Smith,00000000000000000000138b,01/02/2025,657b7b3c1a3052fc06c77099,4,2,1,1,1,,,0
R00124,Submission,Random Prompt,5004,5004,00000000000000000000138c,01/02/2025,657b7b3c1a3052fc06c77099,1,4,4,1,1,,Day note 124,3
R00125,Submission,Random Prompt,5005,Smith,00000000000000000000138d,01/02/2025,657b7b3c1a3052fc06c77099,3,0,3,1,0,,,0
R00126,Submission,Random Prompt,5006,Smith,00000000000000000000138e,01/02/2025,657b7b3c1a3052fc06c77099,3,4,3,0,,,,1
R00127,Submission,Random Prompt,5007,Smith,00000000000000000000138f,01/02/2025,657b7b3c1a3052fc06c77099,2,4,1,0,,,Day note 127,1
R00128,Submission,Random Prompt,5008,Smith,000000000000000000001390,01/02/2025,657b7b3c1a3052fc06c77099,2,1,1,0,,,,1
R00129,Submission,Random Prompt,5009,Smith,000000000000000000001391,01/02/2025,657b7b3c1a3052fc06c77099,3,1,2,1,4,,,3
R00130,Submission,Random Prompt,5010,5010,000000000000000000001392,01/02/2025,657b7b3c1a3052fc06c77099,0,2,2,1,0,,Day note 130,0
R00131,Submission,Random Prompt,5001,Smith,000000000000000000001389,02/02/2025,657b7b3c1a3052fc06c77099,0,2,3,0,,,Day note 131,0
R00132,Submission,Random Prompt,5002,Smith,00000000000000000000138a,02/02/2025,657b7b3c1a3052fc06c77099,0,0,4,0,,,,0
R00133,Submission,Random Prompt,5003,Smith,00000000000000000000138b,02/02/2025,657b7b3c1a3052fc06c77099,2,3,3,1,2,,Day note 133,0
R00134,Submission,Random Prompt,5004,Smith,00000000000000000000138c,02/02/2025,657b7b3c1a3052fc06c77099,4,0,0,0,,,Day note 134,0
R00135,Submission,Random Prompt,,Smith,00000000000000000000138d,02/02/2025,657b7b3c1a3052fc06c77099,2,0,1,1,2,,,2
R00136,Submission,Random Prompt,5006,Smith,00000000000000000000138e,02/02/2025,657b7b3c1a3052fc06c77099,4,1,1,1,0,,,0
R00137,Submission,Random Prompt,5007,Smith,00000000000000000000138f,02/02/2025,657b7b3c1a3052fc06c77099,4,4,4,0,,,Day note 137,0
R00138,Submission,Random Prompt,5008,Smith,000000000000000000001390,02/02/2025,657b7b3c1a3052fc06c77099,4,1,4,1,2,,,0
R00139,Submission,Random Prompt,5009,5009,000000000000000000001391,02/02/2025,657b7b3c1a3052fc06c77099,4,1,3,0,,,Day note 139,0
R00140,Submission,Random Prompt,5010,Smith,000000000000000000001392,02/02/2025,657b7b3c1a3052fc06c77099,3,1,3,1,2,,,2
R00141,Submission,Random Prompt,5001,Smith,000000000000000000001389,03/02/2025,657b7b3c1a3052fc06c77099,3,4,2,1,3,,,0
R00142,Submission,Random Prompt,5002,5002,00000000000000000000138a,03/02/2025,657b7b3c1a3052fc06c77099,4,0,1,0,,,Day note 142,2
R00143,Submission,Random Prompt,5003,Smith,00000000000000000000138b,03/02/2025,657b7b3c1a3052fc06c77099,0,3,1,0,,,Day note 143,1
R00144,Submission,Random Prompt,5004,Smith,00000000000000000000138c,03/02/2025,657b7b3c1a3052fc06c77099,2,1,2,1,1,,,3
R00145,Submission,Random Prompt,5005,Smith,00000000000000000000138d,03/02/2025,657b7b3c1a3052fc06c77099,0,2,4,1,2,,Day note 145,0
R00146,Submission,Random Prompt,5006,Smith,00000000000000000000138e,03/02/2025,657b7b3c1a3052fc06c77099,1,0,1,0,,,,0
R00147,Submission,Random Prompt,5007,5007,00000000000000000000138f,03/02/2025,657b7b3c1a3052fc06c77099,2,3,2,0,,,,0
R00148,Submission,Random Prompt,5008,Smith,000000000000000000001390,03/02/2025,657b7b3c1a3052fc06c77099,3,2,3,0,,,,3
R00149,Submission,Random Prompt,5009,Smith,000000000000000000001391,03/02/2025,657b7b3c1a3052fc06c77099,4,4,4,0,,,,0
R00150,Submission,Random Prompt,5010,Smith,000000000000000000001392,03/02/2025,657b7b3c1a3052fc06c77099,4,1,2,0,,,,0
R00151,Submission,Random Prompt,5001,Smith,000000000000000000001389,04/02/2025,657b7b3c1a3052fc06c77099,0,2,2,0,,,,0
R00152,Submission,Random Prompt,5002,5002,00000000000000000000138a,04/02/2025,657b7b3c1a3052fc06c77099,0,4,4,1,2,,,0
R00153,Submission,Random Prompt,5003,5003,00000000000000000000138b,04/02/2025,657b7b3c1a3052fc06c77099,1,1,3,0,,,,0
R00154,Submission,Random Prompt,5004,5004,00000000000000000000138c,04/02/2025,657b7b3c1a3052fc06c77099,4,1,1,1,2,,Day note 154,0
R00155,Submission,Random Prompt,5005,Smith,00000000000000000000138d,04/02/2025,657b7b3c1a3052fc06c77099,0,4,1,0,,,,0
R00156,Submission,Random Prompt,5006,Smith,00000000000000000000138e,04/02/2025,657b7b3c1a3052fc06c77099,2,4,2,1,2,,Day note 156,0
R00157,Submission,Random Prompt,,Smith,00000000000000000000138f,04/02/2025,657b7b3c1a3052fc06c77099,2,3,2,1,4,,,0
R00158,Submission,Random Prompt,5008,5008,000000000000000000001390,04/02/2025,657b7b3c1a3052fc06c77099,4,0,4,0,,,Day note 158,0
R00159,Submission,Random Prompt,5009,Smith,000000000000000000001391,04/02/2025,657b7b3c1a3052fc06c77099,2,1,4,0,,,Day note 159,0
R00160,Submission,Random Prompt,5010,Smith,000000000000000000001392,04/02/2025,657b7b3c1a3052fc06c77099,4,3,1,1,2,,,1
R00161,Submission,Random Prompt,5001,Smith,000000000000000000001389,05/02/2025,657b7b3c1a3052fc06c77099,2,4,3,1,0,,Day note 161,0
R00162,Submission,Random Prompt,5002,Smith,00000000000000000000138a,05/02/2025,657b7b3c1a3052fc06c77099,3,0,0,1,0,,,0
R00163,Submission,Random Prompt,5003,Smith,00000000000000000000138b,05/02/2025,657b7b3c1a3052fc06c77099,1,1,0,0,,,Day note 163,0
R00164,Submission,Random Prompt,5004,Smith,00000000000000000000138c,05/02/2025,657b7b3c1a3052fc06c77099,1,4,0,0,,,,1
R00165,Submission,Random Prompt,5005,Smith,00000000000000000000138d,05/02/2025,657b7b3c1a3052fc06c77099,0,4,1,0,,,,0
R00166,Submission,Random Prompt,5006,Smith,00000000000000000000138e,05/02/2025,657b7b3c1a3052fc06c77099,3,1,3,1,1,,,2
R00167,Submission,Random Prompt,5007,Smith,00000000000000000000138f,05/02/2025,657b7b3c1a3052fc06c77099,1,3,4,0,,,Day note 167,0
R00168,Submission,Random Prompt,,Smith,000000000000000000001390,05/02/2025,657b7b3c1a3052fc06c77099,3,2,1,1,1,,,0
R00169,Submission,Random Prompt,5009,Smith,000000000000000000001391,05/02/2025,657b7b3c1a3052fc06c77099,0,3,3,0,,,,0
R00170,Submission,Random Prompt,5010,Smith,000000000000000000001392,05/02/2025,657b7b3c1a3052fc06c77099,1,1,4,0,,,,0
R00171,Submission,Random Prompt,5001,Smith,000000000000000000001389,06/02/2025,657b7b3c1a3052fc06c77099,1,2,3,0,,,,0
R00172,Submission,Random Prompt,5002,Smith,00000000000000000000138a,06/02/2025,657b7b3c1a3052fc06c77099,3,2,3,0,,,,0
R00173,Submission,Random Prompt,5003,Smith,00000000000000000000138b,06/02/2025,657b7b3c1a3052fc06c77099,0,1,2,1,2,,,1
R00174,Submission,Random Prompt,5004,Smith,00000000000000000000138c,06/02/2025,657b7b3c1a3052fc06c77099,1,2,2,0,,,Day note 174,0
R00175,Submission,Random Prompt,5005,Smith,00000000000000000000138d,06/02/2025,657b7b3c1a3052fc06c77099,2,3,1,0,,,Day note 175,0
R00176,Submission,Random Prompt,5006,Smith,00000000000000000000138e,06/02/2025,657b7b3c1a3052fc06c77099,1,0,0,1,2,,Day note 176,0
R00177,Submission,Random Prompt,5007,Smith,00000000000000000000138f,06/02/2025,657b7b3c1a3052fc06c77099,4,1,4,0,,,,0
R00178,Submission,Random Prompt,5008,Smith,000000000000000000001390,06/02/2025,657b7b3c1a3052fc06c77099,0,2,1,0,,,Day note 178,0
R00179,Submission,Random Prompt,5009,Smith,000000000000000000001391,06/02/2025,657b7b3c1a3052fc06c77099,4,2,0,0,,,,0
R00180,Submission,Random Prompt,5010,Smith,000000000000000000001392,06/02/2025,657b7b3c1a3052fc06c77099,4,1,4,0,,,,0
